;;;COD. ARTIC.;NOMBRE;;STOCK;;;;LISTA 1;;LISTA 2;;LISTA 3;;LISTA 4;CATEGORIA;;;;;;;;;;;;;
292;;292;394;RAM KINGSTON DDR3 4GB 1333MHZ 1.5V;;0,0000;10,5;3712,00;50,00;6152,64;40,00;5742,46;30,00;5332,29;20,00;4922,11;RAM;;;;1;32,00;0,00;4101,76;0,00;4101,76;1;0;1;0
293;;293;395;RAM HP DDR4 8GB 3600MHZ RGB V8;;0,0000;10,5;5452,00;50,00;9036,69;40,00;8434,24;30,00;7831,80;70,00;10241,58;RAM;;;;1;47,00;0,00;6024,46;0,00;6024,46;1;0;1;0
294;;294;396;RAM KINGSTON DDR3 4GB 1866 MHZ HYPERX FURY ;;0,0000;10,5;4060,00;50,00;6729,45;40,00;6280,82;30,00;5832,19;20,00;5383,56;RAM;;;;1;35,00;0,00;4486,30;0,00;4486,30;1;1;1;0
295;;295;397;RAM CORSAIR DDR3 8GB 1600 MHZ VENGEANCE LP;;10,000;10,5;4524,00;50,00;7498,53;40,00;6998,63;30,00;6498,73;20,00;5998,82;RAM;;;;1;39,00;0,00;4999,02;0,00;4999,02;1;0;1;0
296;;296;398;RAM KINGSTON DDR4 8GB 2666MHZ BEAST FURY RGB ;;0,0000;10,5;4756,00;50,00;7883,07;40,00;7357,53;30,00;6831,99;20,00;6306,46;RAM;;;;1;41,00;0,00;5255,38;0,00;5255,38;1;0;1;0
297;;297;399;RAM KINGSTON DDR4 4GB 2666MHz ;;40,000;10,5;2668,00;50,00;4422,21;40,00;4127,40;30,00;3832,58;20,00;3537,77;RAM;;;;1;23,00;0,00;2948,14;0,00;2948,14;1;0;1;0
298;;298;400;RAM HYPERX DDR4 8GB 2666MHz FURY RGB;;0,0000;10,5;6148,00;30,00;8831,60;20,00;8152,25;10,00;7472,89;10,00;7472,89;RAM;;;;1;53,00;0,00;6793,54;0,00;6793,54;1;0;1;0
299;;299;401;RAM HIKVISION DDR4 8GB 3200MHZ CL19;;20,000;10,5;4640,00;50,00;7690,80;40,00;7178,08;30,00;6665,36;20,00;6152,64;RAM;;;;1;40,00;0,00;5127,20;0,00;5127,20;1;0;1;0
300;;300;402;RAM KINGSTON DDR4 8GB 2400 MHZ FURY BLACK;;0,0000;10,5;6264,00;50,00;10382,58;40,00;9690,41;30,00;8998,24;20,00;8306,06;RAM;;;;1;54,00;0,00;6921,72;0,00;6921,72;1;0;1;0
301;;301;403;RAM HYPERX DDR4 8GB 3600MHZ PREDATOR RGB XMP;;10,000;10,5;6612,00;50,00;10959,39;40,00;10228,76;30,00;9498,14;70,00;12420,64;RAM;;;;1;57,00;0,00;7306,26;0,00;7306,26;1;1;1;0
302;;302;404;RAM MUSHKIN SILVERLINE DDR4 16GB 3200MHZ;;40,000;10,5;8352,00;50,00;13843,44;40,00;12920,54;30,00;11997,65;20,00;11074,75;RAM;;;;1;72,00;0,00;9228,96;0,00;9228,96;1;1;1;0
305;;305;407;RAM CRUCIAL DDR3 4GB 1600MHZ ;;0,0000;10,5;3364,00;50,00;5575,83;40,00;5204,11;30,00;4832,39;20,00;4460,66;RAM;;;;1;29,00;0,00;3717,22;0,00;3717,22;1;0;1;0
306;;306;408;RAM KINGSTON DDR4 16GB 2666 MHZ CL19 KVR;;20,000;10,5;8584,00;50,00;14227,98;40,00;13279,45;30,00;12330,92;20,00;11382,38;RAM;;;;1;74,00;0,00;9485,32;0,00;9485,32;1;0;1;0
307;;307;409;RAM KINGSTON DDR3 8GB 1600 MHZ ;;0,0000;10,5;7656,00;50,00;12689,82;40,00;11843,83;30,00;10997,84;20,00;10151,86;RAM;;;;1;66,00;0,00;8459,88;0,00;8459,88;1;1;1;0
308;;308;410;RAM KINGSTON DDR4 8GB SODIMM 2666 MHZ ;;0,0000;10,5;4060,00;50,00;6729,45;40,00;6280,82;30,00;5832,19;20,00;5383,56;RAM;;;;1;35,00;0,00;4486,30;0,00;4486,30;1;0;1;0
309;;309;411;PENDRIVE 16GB SANDISK BLUE CRUZER BLADE ;;0,0000;21;464,00;50,00;842,16;40,00;786,02;30,00;729,87;20,00;673,73;PENDRIVE;;;;1;4,00;0,00;561,44;0,00;561,44;1;0;1;1
310;;310;412;PENDRIVE 32GB VERBATIN SLIDER BLACK;;80,000;21;580,00;70,00;1193,06;60,00;1122,88;50,00;1052,70;30,00;912,34;PENDRIVE;;;;1;5,00;0,00;701,80;0,00;701,80;1;0;1;1
311;;311;413;PENDRIVE 32GB KINGSTON 3.2 DTX EXODIA NARANJA;;10,000;21;452,40;50,00;821,11;40,00;766,37;30,00;711,63;20,00;656,88;PENDRIVE;;;;1;3,90;0,00;547,40;0,00;547,40;1;0;1;1
315;;315;417;PENDRIVE 16GB DATA RIGHT USB;;0,0000;21;348,00;70,00;715,84;60,00;673,73;50,00;631,62;30,00;547,40;PENDRIVE;;;;1;3,00;0,00;421,08;0,00;421,08;1;0;1;1
318;;318;420;PENDRIVE 64GB KINGSTON 3.2 DTX EXODIA NEGRO;;40,000;21;719,20;50,00;1305,35;40,00;1218,32;30,00;1131,30;20,00;1044,28;PENDRIVE;;;;1;6,20;0,00;870,23;0,00;870,23;1;0;1;0
319;;319;421;MSD/SD 8GB KINGSTON (CLASE 4);;0,0000;21;493,00;65,00;984,27;50,00;894,80;30,00;775,49;100,00;1193,06;MSD/SD;;;;1;4,25;0,00;596,53;0,00;596,53;1;0;1;1
320;;320;422;MSD/SDHC 16GB SANDISK (CLASE 10);;60,000;21;464,00;50,00;842,16;40,00;786,02;30,00;729,87;20,00;673,73;MSD/SD;;;;1;4,00;0,00;561,44;0,00;561,44;1;0;1;0
321;;321;423;MSD/SD 16GB KINGSTON (CLASE 10);;0,0000;21;406,00;50,00;736,89;40,00;687,76;30,00;638,64;20,00;589,51;MSD/SD;;;;1;3,50;0,00;491,26;0,00;491,26;1;0;1;0
322;;322;424;MSD/SD 32GB KINGSTON CANVAS PLUS (CLASE 10);;100,000;21;522,00;50,00;947,43;40,00;884,27;30,00;821,11;20,00;757,94;MSD/SD;;;;1;4,50;0,00;631,62;0,00;631,62;1;0;1;1
323;;323;425;MSD/SDXC 64GB SANDISK ULTRA (CLASE 10);;70,000;21;1102,00;50,00;2000,13;40,00;1866,79;30,00;1733,45;20,00;1600,10;MSD/SD;;;;1;9,50;0,00;1333,42;0,00;1333,42;1;0;1;0
324;;324;426;MSD/SDHC 32GB SANDISK ULTRA (CLASE 10);;0,0000;21;580,00;50,00;1052,70;40,00;982,52;30,00;912,34;20,00;842,16;MSD/SD;;;;1;5,00;0,00;701,80;0,00;701,80;1;0;1;0
325;;325;427;PILA ENERGIZER AL. MAX E95 D-2;;0,0000;21;134,00;70,00;275,64;50,00;243,21;30,00;210,78;100,00;324,28;PILAS;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
326;;326;428;PILA ENERGIZER ALC. MAX E91 AA;;400,000;21;52,20;70,00;107,38;60,00;101,06;50,00;94,74;30,00;82,11;PILAS;;;;1;0,45;0,00;63,16;0,00;63,16;1;0;1;0
327;;327;429;PILA ENERGIZER ALC. MAX E92 AAA;;230,000;21;73,08;70,00;150,33;60,00;141,48;50,00;132,64;30,00;114,95;PILAS;;;;1;0,63;0,00;88,43;0,00;88,43;1;0;1;0
328;;328;430;PILA EVEREDY ALC. MAX E93 C-2;;0,0000;21;66,55;65,00;132,87;50,00;120,79;30,00;104,69;100,00;161,05;PILAS;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
330;;330;432;PILA ENERGIZER ALC. MAX 9V;;0,0000;21;208,80;70,00;429,50;60,00;404,24;30,00;328,44;100,00;505,30;PILAS;;;;1;1,80;0,00;252,65;0,00;252,65;1;0;1;0
331;;331;433;PILA ENERGIZER ELEC. ECR2016 ;;-20,000;21;62,64;70,00;128,85;50,00;113,69;30,00;98,53;100,00;151,59;PILAS;;;;1;0,54;0,00;75,79;0,00;75,79;1;0;1;0
332;;332;434;PILA ENERGIZER ELEC. ECR2025 ;;550,000;21;62,64;70,00;128,85;60,00;121,27;30,00;98,53;100,00;151,59;PILAS;;;;1;0,54;0,00;75,79;0,00;75,79;1;0;1;0
333;;333;435;PILA GENERICA ELEC. ERC2032 ;;0,0000;21;52,20;70,00;107,38;60,00;101,06;30,00;82,11;100,00;126,32;PILAS;;;;1;0,45;0,00;63,16;0,00;63,16;1;0;1;0
334;;334;436;PILA ENERGIZER ELEC. A23 ;;0,0000;21;73,08;70,00;150,33;60,00;141,48;30,00;114,95;100,00;176,85;PILAS;;;;1;0,63;0,00;88,43;0,00;88,43;1;0;1;0
335;;335;437;PILA ENERGIZER ELEC. A27;;0,0000;21;116,00;70,00;238,61;50,00;210,54;30,00;182,47;100,00;280,72;PILAS;;;;1;1,00;0,00;140,36;0,00;140,36;1;0;1;0
336;;336;438;PILA ENERGIZER ELEC. ERC2032;;290,000;21;69,60;70,00;143,17;60,00;134,75;50,00;126,32;30,00;109,48;PILAS;;;;1;0,60;0,00;84,22;0,00;84,22;1;0;1;0
337;;337;439;PILAS E918 + LINTERNA XFH21;;20,000;21;812,00;70,00;1670,28;60,00;1572,03;50,00;1473,78;30,00;1277,28;PILAS;;;;1;7,00;0,00;982,52;0,00;982,52;1;0;1;0
339;;339;441;"NETMAK	6C NM-6CH";;10,000;10,5;100,43;65,00;183,11;50,00;166,46;30,00;144,26;100,00;221,95;PLACA DE AUDIO Y DATOS;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
341;;341;443;LECTOR DE TARJETAS INTERNO;;0,0000;21;90,00;70,00;185,13;50,00;163,35;30,00;141,57;100,00;217,80;PLACA DE AUDIO Y DATOS;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
342;;342;444;CAPTURADORA DE AUDIO Y VIDEO;;10,000;10,5;1392,00;70,00;2614,87;60,00;2461,06;50,00;2307,24;30,00;1999,61;PLACA DE AUDIO Y DATOS;;;;1;12,00;0,00;1538,16;0,00;1538,16;1;0;1;0
343;;343;445;PLACA DE AUDIO USB 7.1 ;;80,000;10,5;406,00;70,00;762,67;60,00;717,81;50,00;672,95;30,00;583,22;PLACA DE AUDIO Y DATOS;;;;1;3,50;0,00;448,63;0,00;448,63;1;0;1;0
344;;344;446;RED USB;;0,0000;21;119,79;60,00;255,10;50,00;239,17;30,00;207,27;100,00;318,88;PLACA DE AUDIO Y DATOS;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
346;;346;448;BLUETOOTH MINI;;0,0000;10,5;88,00;120,00;213,93;100,00;194,48;50,00;145,86;150,00;243,10;PLACA DE AUDIO Y DATOS;MIRANDA;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
347;;347;449;BLUETOOTH AUDIO 3.5 MICRO USB, PARA STEREO DE AUTO;;0,0000;10,5;498,80;70,00;937,00;60,00;881,88;50,00;826,76;30,00;716,53;PLACA DE AUDIO Y DATOS;;;;1;4,30;0,00;551,17;0,00;551,17;1;0;1;0
348;;348;450;LECTOR HONEYWELL MK 7580 GENESIS ;;0,0000;21;14000,00;50,00;25410,00;30,00;22022,00;20,00;20328,00;100,00;33880,00;PLACA DE AUDIO Y DATOS;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;1
349;;349;451;LECTOR CODIGO DE BARRAS 1880;;10,000;10,5;4060,00;70,00;7626,71;60,00;7178,08;50,00;6729,45;30,00;5832,19;PLACA DE AUDIO Y DATOS;;;;1;35,00;0,00;4486,30;0,00;4486,30;1;0;1;0
350;;350;452;VIDEO GF-MSI GT 730 4GB GD3 C/COOLER;;20,000;10,5;16240,00;50,00;26917,80;40,00;25123,28;30,00;23328,76;20,00;21534,24;PLACA DE VIDEO;;;;1;140,00;0,00;17945,20;0,00;17945,20;1;0;1;1
351;;351;453;VIDEO GF-ASUS PH-GTX 1050TI 4GB DVI HDMI DP;;0,0000;10,5;30160,00;50,00;49990,20;40,00;46657,52;30,00;43324,84;20,00;39992,16;PLACA DE VIDEO;;;;1;260,00;0,00;33326,80;0,00;33326,80;1;0;1;1
352;;352;454;VIDEO ATI-GIGABYTE RADEON RX 580 8GB GAMING ;;0,0000;10,5;30740,00;50,00;50951,55;40,00;47554,78;30,00;44158,01;70,00;57745,09;PLACA DE VIDEO;;;;1;265,00;0,00;33967,70;0,00;33967,70;1;0;1;1
353;;353;455;VIDEO ATI-ASROCK RX 5500XT CHALLENGER D 8GB OC DDR;;0,0000;10,5;29000,00;50,00;48067,50;40,00;44863,00;30,00;41658,50;70,00;54476,50;PLACA DE VIDEO;;;;1;250,00;0,00;32045,00;0,00;32045,00;1;0;1;1
354;;354;456;VIDEO ATI-GIGABYTE VGA 2GB GT 1030  DDR4 LP;;0,0000;10,5;16820,00;50,00;27879,15;40,00;26020,54;30,00;24161,93;70,00;31596,37;PLACA DE VIDEO;;;;1;145,00;0,00;18586,10;0,00;18586,10;1;0;1;1
355;;355;457;VIDEO ATI-SENTEY RADEON RX 560 4GB DDR5 128BIT HDM;;0,0000;10,5;16240,00;50,00;26917,80;40,00;25123,28;30,00;23328,76;70,00;30506,84;PLACA DE VIDEO;;;;1;140,00;0,00;17945,20;0,00;17945,20;1;0;1;1
356;;356;458;VIDEO GF-ASUS PH GTX 1660 SUPER 6GB;;0,0000;10,5;32480,00;50,00;53835,60;40,00;50246,56;30,00;46657,52;100,00;71780,80;PLACA DE VIDEO;;;;1;280,00;0,00;35890,40;0,00;35890,40;1;0;1;1
357;;357;459;VIDEO GF-MSI GT 730 2GB D3H LP DISIPADOR PASIVO;;40,000;10,5;11484,00;50,00;19034,73;40,00;17765,75;30,00;16496,77;20,00;15227,78;PLACA DE VIDEO;;;;1;99,00;0,00;12689,82;0,00;12689,82;1;0;1;1
359;;359;461;"HDD WD 3.5"" BLUE 1TB SATA 6 GBS 64 MB";;0,0000;10,5;5104,00;50,00;8459,88;40,00;7895,89;30,00;7331,90;20,00;6767,90;DISCO SATA Y USB;;;;1;44,00;0,00;5639,92;0,00;5639,92;1;1;1;1
360;;360;462;"HDD WD 3.5"" PURPLE 1TB SATA 6 GBS 64 MB";;10,000;10,5;5336,00;50,00;8844,42;40,00;8254,79;30,00;7665,16;20,00;7075,54;DISCO SATA Y USB;;;;1;46,00;0,00;5896,28;0,00;5896,28;1;0;1;1
361;;361;463;HDD KINGSTON SSD USB 1000GB USB 3.2 Gen 2X2;;0,0000;10,5;20880,00;50,00;34608,60;40,00;32301,36;30,00;29994,12;20,00;27686,88;DISCO SATA Y USB;;;;1;180,00;0,00;23072,40;0,00;23072,40;1;1;1;1
362;;362;464;"HDD SEAGATE 2.5"" BARRACUDA 1TB 7MM ";;0,0000;10,5;6380,00;70,00;11984,83;50,00;10574,85;30,00;9164,87;100,00;14099,80;DISCO SATA Y USB;;;;1;55,00;0,00;7049,90;0,00;7049,90;1;1;1;1
363;;363;465;"HDD WD 3.5"" PURPLE 2TB SATA 6 GBS 64 MB";;30,000;10,5;7424,00;50,00;12305,28;40,00;11484,93;30,00;10664,58;20,00;9844,22;DISCO SATA Y USB;;;;1;64,00;0,00;8203,52;0,00;8203,52;1;0;1;1
364;;364;466;HDD WD USB 1TB 3.0 MY ELEMENTS;;30,000;10,5;5220,00;50,00;8652,15;40,00;8075,34;30,00;7498,53;20,00;6921,72;DISCO SATA Y USB;;;;1;45,00;0,00;5768,10;0,00;5768,10;1;1;1;1
365;;365;467;HDD WD USB 2TB 3.0 MY ELEMENTS;;0,0000;10,5;7308,00;50,00;12113,01;40,00;11305,48;30,00;10497,94;20,00;9690,41;DISCO SATA Y USB;;;;1;63,00;0,00;8075,34;0,00;8075,34;1;1;1;1
366;;366;468;HDD WD USB 4TB 3.0 MY ELEMENTS;;10,000;10,5;11252,00;50,00;18650,19;40,00;17406,84;30,00;16163,50;20,00;14920,15;DISCO SATA Y USB;;;;1;97,00;0,00;12433,46;0,00;12433,46;1;0;1;1
367;;367;469;HDD WD USB ;;0,0000;10,5;8700,00;50,00;14420,25;30,00;12497,55;20,00;11536,20;70,00;16342,95;DISCO SATA Y USB;;;;1;75,00;0,00;9613,50;0,00;9613,50;1;1;1;1
368;;368;470;SSD HP M.2 500GB S700;;40,000;10,5;6960,00;50,00;11536,20;40,00;10767,12;30,00;9998,04;20,00;9228,96;DISCO SATA Y USB;;;;1;60,00;0,00;7690,80;0,00;7690,80;1;1;1;1
369;;369;471;"SSD KINGSTON 2.5"" 240GB A400";;10,000;10,5;3596,00;50,00;5960,37;40,00;5563,01;30,00;5165,65;20,00;4768,30;DISCO SATA Y USB;;;;1;31,00;0,00;3973,58;0,00;3973,58;1;1;1;1
370;;370;472;SSD KINGSTON M.2 240GB A400 2280;;0,0000;10,5;4292,00;50,00;7113,99;40,00;6639,72;30,00;6165,46;20,00;5691,19;DISCO SATA Y USB;;;;1;37,00;0,00;4742,66;0,00;4742,66;1;0;1;1
371;;371;473;SSD KINGSTON M.2 480GB A400 2280;;0,0000;10,5;5916,00;50,00;9805,77;40,00;9152,05;30,00;8498,33;70,00;11113,21;DISCO SATA Y USB;;;;1;51,00;0,00;6537,18;0,00;6537,18;1;0;1;1
372;;372;474;"SSD KINGSTON 2.5"" 120GB A400";;110,000;10,5;3248,00;50,00;5383,56;40,00;5024,66;30,00;4665,75;20,00;4306,85;DISCO SATA Y USB;;;;1;28,00;0,00;3589,04;0,00;3589,04;1;1;1;1
373;;373;475;RW-DVD SATA INTERNA 22X NEGRA;;100,000;10,5;1740,00;50,00;2884,05;40,00;2691,78;30,00;2499,51;20,00;2307,24;RW- DVD SATA Y USB;;;;1;15,00;0,00;1922,70;0,00;1922,70;1;0;1;1
374;;374;476;RW-DVD LITEON EXTERNA SLIM USB 8X ;;0,0000;10,5;2668,00;50,00;4422,21;40,00;4127,40;30,00;3832,58;20,00;3537,77;RW- DVD SATA Y USB;;;;1;23,00;0,00;2948,14;0,00;2948,14;1;0;1;1
375;;375;477;CD-R VIRGEN TORRE 100 UNIDADES;;0,0000;21;1740,00;70,00;3579,18;50,00;3158,10;30,00;2737,02;100,00;4210,80;CD - DVD;;;;1;15,00;0,00;2105,40;0,00;2105,40;1;0;1;1
376;;376;478;DVD-RTORRE 100 UNIDADES;;0,0000;21;1740,00;70,00;3579,18;50,00;3158,10;30,00;2737,02;100,00;4210,80;CD - DVD;;;;1;15,00;0,00;2105,40;0,00;2105,40;1;0;1;1
377;;377;479;DVD-R VERBATIN 4.7GB 16X TORRE 50 UNIDADES;;0,0000;21;266,20;60,00;515,36;50,00;483,15;30,00;418,74;100,00;644,20;CD - DVD;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;1
378;;378;480;DVD-R JVG 4.7GB 8X TORRE 50 UNIDADES PRINTABLE;;0,0000;21;300,08;60,00;580,95;50,00;544,64;30,00;472,02;100,00;726,20;CD - DVD;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;1
379;;379;481;DVD-R VERBATIN 4.7GB 16X  X UNIDAD;;-20,000;21;6,29;70,00;12,94;50,00;11,42;30,00;9,89;100,00;15,22;CD - DVD;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;1
380;;380;482;CD-R TDK 52X 80MIN 700MB  X UNIDAD;;-1,330,000;21;6,29;60,00;12,18;50,00;11,42;30,00;9,90;100,00;15,22;CD - DVD;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;1
381;;381;483;PINZA CRIMPEADORA RJ45/11/12;;10,000;10,5;638,00;70,00;1198,48;60,00;1127,98;50,00;1057,49;30,00;916,49;ARTICULOS VARIOS;;;;1;5,50;0,00;704,99;0,00;704,99;1;0;1;0
382;;382;484;TESTER CABLE DE RED;;0,0000;10,5;580,00;70,00;1089,53;50,00;961,35;30,00;833,17;100,00;1281,80;CONECTIVIDAD;MIRANDA;;;1;5,00;0,00;640,90;0,00;640,90;1;0;1;0
383;;383;485;UTP CAT 5e INTERIOR POR METRO;;11,710,000;21;23,20;70,00;47,72;60,00;44,92;50,00;42,11;30,00;36,49;CONECTIVIDAD;;;;1;0,20;0,00;28,07;0,00;28,07;1;0;1;0
384;;384;486;UTP CAT 5e EXTERIOR POR METRO;;-4,840,000;21;29,00;70,00;59,65;60,00;56,14;50,00;52,64;30,00;45,62;CONECTIVIDAD;;;;1;0,25;0,00;35,09;0,00;35,09;1;0;1;0
385;;385;487;UTP CAT 6e EXTERIOR POR METRO;;-1,950,000;21;34,80;70,00;71,58;60,00;67,37;50,00;63,16;30,00;54,74;CONECTIVIDAD;;;;1;0,30;0,00;42,11;0,00;42,11;1;0;1;0
386;;386;488;FICHA RJ45;;8,020,000;10,5;5,80;70,00;10,90;60,00;10,25;50,00;9,61;30,00;8,33;CONECTIVIDAD;;;;1;0,05;0,00;6,41;0,00;6,41;1;0;1;0
387;;387;489;HUB ALARGADO 4 EN 1;;30,000;10,5;290,00;50,00;480,68;30,00;416,59;20,00;384,54;70,00;544,77;CONECTIVIDAD;;;;1;2,50;0,00;320,45;0,00;320,45;1;0;1;0
388;;388;490;CABLE DE RED 2 MTRS ARMADO;;80,000;10,5;92,80;70,00;174,32;60,00;164,07;50,00;153,82;30,00;133,31;CONECTIVIDAD;;;;1;0,80;0,00;102,54;0,00;102,54;1;0;1;0
389;;389;491;CABLE DE RED 3 MTRS ARMADO;;20,000;10,5;92,80;70,00;174,32;60,00;164,07;50,00;153,82;30,00;133,31;CONECTIVIDAD;;;;1;0,80;0,00;102,54;0,00;102,54;1;0;1;0
390;;390;492;CABLE DE RED 10 MTRS ARMADO;;30,000;10,5;394,40;70,00;740,88;60,00;697,30;50,00;653,72;30,00;566,56;CONECTIVIDAD;;;;1;3,40;0,00;435,81;0,00;435,81;1;0;1;0
391;;391;493;CABLE DE RED 15 MTRS ARMADO;;60,000;10,5;464,00;70,00;871,62;60,00;820,35;50,00;769,08;30,00;666,54;CONECTIVIDAD;;;;1;4,00;0,00;512,72;0,00;512,72;1;0;1;0
392;;392;494;CABLE DE RED 20 MTRS ARMADO;;20,000;10,5;580,00;70,00;1089,53;60,00;1025,44;50,00;961,35;30,00;833,17;CONECTIVIDAD;;;;1;5,00;0,00;640,90;0,00;640,90;1;0;1;0
393;;393;495;EXTENCION RJ45;;500,000;21;46,40;200,00;168,43;150,00;140,36;100,00;112,29;200,00;168,43;CONECTIVIDAD;;;;1;0,40;0,00;56,14;0,00;56,14;1;0;1;0
394;;394;496;BOBINA UTP CAT5E 305MTRS INTERIOR;;0,0000;21;5684,00;50,00;10316,46;40,00;9628,70;30,00;8940,93;20,00;8253,17;CONECTIVIDAD;;;;1;49,00;0,00;6877,64;0,00;6877,64;1;0;1;0
395;;395;497;BOBINA UTP CAT5E 305MTRS EXTERIOR;;20,000;21;8120,00;50,00;14737,80;40,00;13755,28;30,00;12772,76;20,00;11790,24;CONECTIVIDAD;;;;1;70,00;0,00;9825,20;0,00;9825,20;1;0;1;0
396;;396;498;BOBINA UTP CAT6 305MTRS EXTERIOR;;10,000;21;9280,00;50,00;16843,20;40,00;15720,32;30,00;14597,44;20,00;13474,56;CONECTIVIDAD;;;;1;80,00;0,00;11228,80;0,00;11228,80;1;0;1;0
397;;397;499;ADAPTADOR BLUETOOTH TP-LINK USB NANO UB400 ;;0,0000;10,5;928,00;50,00;1538,16;40,00;1435,62;30,00;1333,07;20,00;1230,53;CONECTIVIDAD;;;;1;8,00;0,00;1025,44;0,00;1025,44;1;0;1;0
398;;398;500;ROUTER TP-LINK ARCHER C60 AC1350 DUAL BAND 5 ANT;;50,000;10,5;3712,00;50,00;6152,64;40,00;5742,46;30,00;5332,29;20,00;4922,11;CONECTIVIDAD;;;;1;32,00;0,00;4101,76;0,00;4101,76;1;1;1;1
399;;399;501;ROUTER TP-LINK TL-WR841HP 2 X 9DBI 300 MPS;;0,0000;10,5;4060,00;50,00;6729,45;40,00;6280,82;30,00;5832,19;20,00;5383,56;CONECTIVIDAD;;;;1;35,00;0,00;4486,30;0,00;4486,30;1;1;1;1
400;;400;502;ROUTER TP-LINK TL-WR941HP 3 X 9DBI 450 MPS;;60,000;10,5;5104,00;50,00;8459,88;40,00;7895,89;30,00;7331,90;20,00;6767,90;CONECTIVIDAD;;;;1;44,00;0,00;5639,92;0,00;5639,92;1;1;1;1
401;;401;503;EXT. DE RANGO TP-LINK TL-WA820RE USB;;10,000;10,5;2900,00;50,00;4806,75;40,00;4486,30;30,00;4165,85;20,00;3845,40;CONECTIVIDAD;;;;1;25,00;0,00;3204,50;0,00;3204,50;1;0;1;1
403;;403;505;EXT. DE RANGO MERCUSYS RANGE EXTENDER 300MBPS 3 AN;;30,000;10,5;1972,00;50,00;3268,59;40,00;3050,68;30,00;2832,78;20,00;2614,87;CONECTIVIDAD;;;;1;17,00;0,00;2179,06;0,00;2179,06;1;1;1;1
404;;404;506;ACC. POINT TP-LINK CPE220 300MPS 12DBI 2.4GHZ;;10,000;10,5;4872,00;70,00;9152,05;60,00;8613,70;30,00;6998,63;100,00;10767,12;CONECTIVIDAD;AIR SRL;;;1;42,00;0,00;5383,56;0,00;5383,56;1;0;1;1
405;;405;507;ACC. POINT TP-LINK CPE710 867MPS 23DBI 5GHZ;;0,0000;10,5;7656,00;70,00;14381,80;60,00;13535,81;30,00;10997,84;100,00;16919,76;CONECTIVIDAD;AIR SRL;;;1;66,00;0,00;8459,88;0,00;8459,88;1;0;1;1
406;;406;508;SWICHT TP-LINK TL-SF1008D 8 PUERTOS 10/100MPS;;0,0000;10,5;986,00;50,00;1634,30;40,00;1525,34;30,00;1416,39;20,00;1307,44;CONECTIVIDAD;;;;1;8,50;0,00;1089,53;0,00;1089,53;1;1;1;1
407;;407;509;SWICHT TP-LINK TL-SF1016D 16 PUERTOS 10/100MPS;;10,000;10,5;2552,00;50,00;4229,94;40,00;3947,94;30,00;3665,95;20,00;3383,95;CONECTIVIDAD;;;;1;22,00;0,00;2819,96;0,00;2819,96;1;1;1;1
408;;408;510;BLUETOOTH USB  NANO ADAPTER;;50,000;21;348,00;70,00;715,84;60,00;673,73;50,00;631,62;30,00;547,40;CONECTIVIDAD;;;;1;3,00;0,00;421,08;0,00;421,08;1;0;1;1
409;;409;511;CAMARA IP TP-LINK NC450 MOV REMOTO SD WIFI;;0,0000;21;5800,00;0,00;7018,00;0,00;7018,00;0,00;7018,00;0,00;7018,00;SEGURIDAD;;;;1;50,00;0,00;7018,00;0,00;7018,00;1;1;1;1
411;;411;513;RED LAN PCI TP-LINK TF-3239DL 10/100;;40,000;10,5;200,00;65,00;364,65;50,00;331,50;30,00;287,30;100,00;442,00;CONECTIVIDAD;AIR SRL;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;1
412;;412;514;RED LAN PCI-E TP-LINK TG-3468 LAN GIGABIT 10/100/1;;70,000;10,5;909,44;70,00;1708,38;50,00;1507,40;30,00;1306,41;100,00;2009,86;CONECTIVIDAD;AIR SRL;;;1;7,84;0,00;1004,93;0,00;1004,93;1;1;1;1
413;;413;515;WIFI PCI-E TP-LINK TL-WN881ND 300 MBPS 2 WIFI;;70,000;10,5;1624,00;50,00;2691,78;40,00;2512,33;30,00;2332,88;20,00;2153,42;CONECTIVIDAD;;;;1;14,00;0,00;1794,52;0,00;1794,52;1;1;1;1
414;;414;516;WIFI PCI TP-LINK TL-WN851ND 300 MPS 2 A WIFI;;50,000;10,5;1740,00;70,00;3268,59;60,00;3076,32;30,00;2499,51;100,00;3845,40;CONECTIVIDAD;AIR SRL;;;1;15,00;0,00;1922,70;0,00;1922,70;1;1;1;1
416;;416;518;WIFI USB TP-LINK ARCHER T5E PCIE 1200MB 2 ANT WIFI;;0,0000;10,5;3016,00;50,00;4999,02;40,00;4665,75;30,00;4332,48;20,00;3999,22;CONECTIVIDAD;;;;1;26,00;0,00;3332,68;0,00;3332,68;1;0;1;1
